source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,mass_flame,mass_flame_lower,mass_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,radius_flame,radius_flame_lower,radius_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame
6377828354964753792,358.46317351524806,-75.63421868521044,2016.0,98.84898531472099,0.01670537,244.1085430768689,0.018762236,-379.31362782711346,0.021882515,-9.468372,0.13437371,false,3253.5034,3241.6902,3410.7737,-0.79,-0.8298,-0.3143,,,,0.043551143,0.042002264,0.043689117,0.65708804,0.58798724,0.6621668,,,,20
6378584028690858496,343.92147125181526,-75.4633768500233,2016.0,116.31336925688149,0.016823512,-1026.2025065733505,0.018067643,-1059.4066708560106,0.018554317,65.515396,0.13005215,false,3193.6565,3187.211,3262.4104,-0.7307,-0.7568,-0.4693,,,,0.025829948,0.025642231,0.025940958,0.5250676,0.5038781,0.52747446,,,,20
6380214844952702848,354.90793158181526,-72.72542944515125,2016.0,87.37235542781944,0.018673154,143.73557391566453,0.02210608,-736.9071344649008,0.023242185,69.62261,0.12676315,false,,,,,,,,,,,,,,,,,,,
6381623044470172672,340.4960624875462,-75.00821792446833,2016.0,80.39596371946803,0.027306559,-75.78682712777942,0.029295431,217.18337591881175,0.029648684,20.462433,29.470633,false,,,,,,,,,,,,,,,,,,,
6386280060329151616,358.3593934660763,-70.94461574811649,2016.0,81.13615977267115,0.025188835,315.55540614255847,0.024875406,33.241489177627564,0.027974183,-0.51096594,0.6427878,false,,,,,,,,,,,,,,,,,,,
6401464693867773568,321.61171581249374,-65.3626399731515,2016.0,108.01020563892783,0.10606345,80.81524728416929,0.079900935,800.5726893856181,0.09307411,-29.779509,0.12135207,false,6092.6636,6091.403,6094.022,-0.8116,-0.8157,-0.7938,1.1236573,1.0836494,1.1636676,1.5076029,1.5016904,1.5135406,1.1020286,1.0798824,1.1241758,1.859697,1.1527107,2.5658517,00
6405457982659103872,333.46143166945996,-63.702023164643734,2016.0,72.07483249411429,0.036034543,116.01556880453397,0.031325795,170.4307359905465,0.03797282,,,false,,,,,,,,,,,,,,,,,,,
6409685433069148288,329.90241321791643,-59.75337286630774,2016.0,86.56130818207497,0.01739932,886.0460533740757,0.012489865,-125.52952181234144,0.015567729,12.953562,0.13237604,false,3435.0327,3413.173,3508.4282,-0.975,-1.0783,-0.7223,,,,0.05203848,0.051268775,0.05221091,0.6441179,0.6142626,0.6531745,,,,20
6412595290592307840,330.8724078795965,-56.79725466122902,2016.0,274.8431415216296,0.09561499,3966.6605387484133,0.08557088,-2536.1919868044724,0.09221277,-40.4267,0.12858154,false,4560.303,4539.915,4569.0063,-0.2973,-0.3569,-0.2745,0.73923224,0.6992322,0.77923226,0.2248931,0.21988468,0.22990076,0.7631266,0.745658,0.7805946,10.487599,8.012132,12.963067,00
6412596012146801152,331.07645259656397,-56.79381206688221,2016.0,270.6580324694526,0.6895573,3981.97666296105,0.6016568,-2466.8318147663504,0.6256827,,,false,,,,,,,,,,,,,,,,,,,
