query_id,main_id,ra,dec,otype,sp_type,ids,V
"CNS5 1208","* pi.03 Ori",72.46004668811875,6.961277950629445,"PM*","F6V","TIC 399665349|GJ 178|HIP 22449|Gaia DR3 3288921720025503360|2MASS J04495040+0657409|PLX 1077|LSPM J0449+0657|TYC   96-1462-1|ASCC 1010229|USNO-B1.0 0969-00046662|*   1 Ori|* pi.03 Ori|2RE J044951+065736|2RE J0449+065|BD+06   762|CCDM J04499+0657A|CNS5 1208|CSI+06   762  1|CSV 100411|Ci 20  306|FK5 1134|GC  5875|GCRV  2837|GEN# +1.00030652|HD  30652|HIC  22449|HR  1543|IDS 04444+0647 A|IRAS 04471+0652|IRC +10071|JP11   931|LTT 11517|N30 1028|NLTT 14011|NSV  1731|PMC 90-93   758|PPM 148020|RE J0449+065|RE J044950+065733|ROT   683|SAO 112106|SKY#  7512|SPOCS  230|SRS  31134|TD1  3592|UBV    4635|UBV M  10360|USNO 809|YZ   6  1810|Zkh  65|uvby98 100030652|SV* ZI   311|PLX 1077.00|1ES 0447+06.8|1RXS J044950.6+065736|2EUVE J0449+06.9|EUVE J0449+06.9|WDS J04498+0658A|RAVE J044950.4+065741|** STT  560A|NAME Tabit|WEB  4331|Gaia DR2 3288921720024442496",3.19
"CNS5 121","LP  881-64",6.184072878621667,-27.14035089794833,"**","M5.5/6Ve+M8.5Ve+M9/9.5V","TIC 340703996|1RXS J002446.5-270842|WISE J002444.13-270817.2|GJ 2005|Gaia DR3 2322561156529549440|CNS5 121|2MASS J00244419-2708242|2MASSI J0024442-270825|LHS  1070|LP  881-64|NLTT  1292|PM 00222-2726|[MBT64]  45|[RHG95]    83|PLX   66.01|[B2006] J002444.2-270824|** LEI    1|[GKL99] 17|PMSC 00197-2743|WISEA J002444.12-270817.1|UCAC3 126-1078|UCAC4 315-000491|DENIS J002444.1-270825|2MUCD 10019|Gaia DR2 2322561156528583040|LEHPM 558|WDS J00247-2653AB,C",15.338
"CNS5 1211","G  85-19",72.71219416103584,22.122647729536666,"PM*","M5V","TIC 18685916|GJ 1072|Gaia DR3 3412806512623627008|LSPM J0450+2207|UCAC2  39619543|2MASS J04505083+2207224|USNO-B1.0 1121-00071594|CNS5 1211|G  85-19|GEN# +9.80085019|LHS  1706|NLTT 14034|UBV M  53671|USNO 223|[RHG95]   832|PLX 1080.01|WISEA J045051.40+220717.1|UCAC4 561-012134|PM J04508+2207|Gaia DR2 3412806512623627008|Karmn J04508+221",15.23
"CNS5 1218","Wolf 1539",73.02388384018542,6.476552410052501,"PM*","M2V","TIC 450102450|StKM 2-391|GJ 179|HIP 22627|Gaia DR3 3288082758293022848|2MASS J04520573+0628356|PLX 1088.1|LSPM J0452+0628|ASCC 1010398|USNO-B1.0 0964-00048894|CNS5 1218|CSI+06-04494|G  83-37|G  84-15|G  82-52|GEN# +9.80082052|GEN# +6.10010179|HIC  22627|LTT 11525|NLTT 14088|Ross  401|UBV M  42931|Wolf 1539|[RHG95]   836|GSC 00096-00602|TYC   96-602-1|PLX 1088.10|WISEA J045205.83+062832.4|UCAC4 483-009091|PM J04520+0628|Gaia DR1 3288082753998763904|Gaia DR2 3288082758293022848|Karmn J04520+064",12.018
"CNS5 1221","G  96-6",73.14419841689374,40.70670755147639,"PM*","M5V","TIC 187391650|GJ 1073|Gaia DR3 200296663143599104|LSPM J0452+4042|UCAC2  45947978|2MASS J04523448+4042255|USNO-B1.0 1307-00106217|CNS5 1221|G  96-6|G  81-39|GEN# +9.80081039|LHS   198|NLTT 14072|PM 04491+4038|USNO 500|[RHG95]   835|PLX 1083.01|Gaia DR2 200296663138794880|WISEA J045235.67+404212.7|PM J04525+4042|Karmn J04525+407",13.4
"CNS5 1222","CD-56  1032B",73.37727251929,-55.85879562331,"PM*","M4Ve","TIC 220433364|GJ 2036 B|XMMSL2 J045330.4-555133|Gaia DR3 4776266798684508928|2E  1177|BPM 17965|CCDM J04535-5552B|CNS5 1222|RBS   600|[FS2003] 0224|[GKL99] 130|[RHG95]   842|CD-56  1032B|TYC 8513-952-2|2MASS J04533054-5551318|1ES 0452-55.9|1RXS J045330.2-555128|2E 0452.5-5556|WDS J04535-5551B|** LDS  131B|1XRS 04490-550|2RE J0453-555|2RE J045329-555121|H 0449-55|RE J0453-555|RE J045329-555136|RAVE J045330.5-555132|UCAC4 171-004893|PM J04535-5551W|Gaia DR2 4776266798684508928",13.92
"CNS5 1223","CD-56  1032A",73.38000638631,-55.86030637067001,"PM*","M3Ve","TIC 220433363|GJ 2036 A|Gaia DR3 4776266794388393472|CNS5 1223|Gaia DR1 4776266794388393472|PM J04535-5551E|UCAC4 171-004894|CD-56  1032A|BPM 17964|CCDM J04535-5552A|IDS 04515-5601 A|[GKL99] 129|[RHG95]   841|TYC 8513-952-3|WDS J04535-5551A|ASAS J045331-5551.5|** LDS  131A|2MASS J04533119-5551372|RAVE J045331.2-555137|Gaia DR2 4776266794388393472",10.804
"CNS5 1225","L  736-30",73.45824967757042,-17.773419240445,"PM*","M3V","TIC 246902275|StKM 2-394|GJ 180|HIP 22762|Gaia DR3 2979590513145784192|2MASS J04534995-1746235|PLX 1097|CNS5 1225|CSI-17-04516|HIC  22762|L  736-30|LFT  377|LHS  1712|LP  776-27|LPM 198|LTT  2116|NLTT 14144|[RHG95]   838|PLX 1097.00|TYC 5903-680-1|WISEA J045350.27-174631.3|Gaia DR2 2979590513145784192|UCAC4 362-006590|PM J04538-1746|Gaia DR1 2979590577567440384|Karmn J04538-177",10.894
"CNS5 1237","2MASS J04574602-0207179",74.44175700000001,-2.121653,"BD*","T2","WISEA J045746.09-020719.2|2MASS J04574602-0207179|CNS5 1237|WISE J045746.08-020719.2",
"CNS5 1242","WISE J045853.89+643452.5",74.7232465,64.58043933333333,"BD*","T8.5","WISEA J045853.91+643452.6|WISE J045853.90+643451.9|CNS5 1242|WISEP J045853.90+643452.6|WDS J04589+6435AB|** GNO    1|WISEP J045853.89+643452.9|WISE J045853.89+643452.5|EQ J0458+6434",
